komentar,sentiment
ilustrasi kait materi teori cerna moga praktikum fo sendiri2 wkwkw maaf pak,positif
saran sedia ruang praktikum alat alat lengkap suasana nyaman,positif
bahas materi cepat lulus man sah paham,negatif
lap baik,negatif
saran tingkat alam kuliah tarik mhsnya kreasi,positif
terkadang lupa teori praktek matkul teori praktek jadwal hari,positif
metode senang,positif
saran nya lab praktikum benah praktikum nyaman,negatif
tingkat evaluasi praktikum proses hasil yanv praktikum,positif
lengkap alat praktikum kalo rj45 kemarin kurang gagal coba suruh ulang lagi ngga ulang bahan,negatif
saran dosen ppt kelas ajar kembali kumpul ttd asdos boleh bareng teman yg simpel,negatif
depan praktikum praktikum asisten dosen sulit tanda tangan kelas serah pj nya wakil kelas tanda tangan biar efektif,negatif
kuliah laksana sama hari yg teori praktikum mudah kuasa materi langsung,positif
kuliah kelompok efektif praktikum cepet cepet njelasinnya perlahan lahan gapapa paham gada hah gimana,positif
jelasin praktek matkulnya tetep biar langsung gambaranya,positif
praktikum alat banyak muas paham mahasiswa  asdos pilih asdos profesional friendly,negatif
sedia alat butuh praktikum kurang,negatif
saran kait kuliah depan kuliah molor jam masuk jam,negatif
telat kabar mahasiswa wakil mahasiswa tugas,negatif
sistem ttd nya sisteatis,negatif
ada study aja sih,positif
kumpul tugas praktikum terkadang asdosnya ruang  kadang tunggu jam yg tentu,negatif
alat bahan praktikum banyak tambah pribadi suka ada quiz kemarin indikator paham materi beri,positif
tahan presentasi hadir ttd kuliah,positif
ulas materi materi,positif
mahasiswa tugas kait ajar tingkat mutu ajar,positif
matkul bilang nggak mudah taruh pagi aja siang siang ngantuk,negatif
saran lengkap alat praktikum jaring ajar,positif
kuliah asik mahasiswa tekan evaluasi simpul jam kuliah,positif
baik sarana praktikum tambah praktikum jalan baik laboratorium sempit dukung praktikum,negatif
saran jelas bahasa ramah mula karna matkul ini beberpa mahasiswa smk,negatif
saran video ajar ulang materi,positif
ubah proses ajar cepat mudah paham materi tahan tingkat kait kuliah,negatif
minimal kelas sedia sapu ekrak wifi nya cakup luas,negatif
saran tingkat alam kuliah metode ajar tarik,positif
saran dosen prodi sedia tempat lab luas alat praktikum mohon banyak mahasiswa ti tambah,negatif
kuliah materi praktikum papar sambung materi mudah paham koneksi temu,positif
praktikum baik siswa sempat praktikum crimping cable dll selesai praktikum mepet shalat jumat,negatif
senang metode ajar hrm tugas minim,positif
harap depan metode ajar interaktif efektif kurang bosan mahasiswa tingkat semangat ajar mahasiswa,negatif
depan luas ruang alat praktikum,negatif
saran tingkat prasarana pratiknya jaring wifi ruang praktik yg ada ajar teori metode vidio gambar mudah paham,negatif
detail terang materi sempurna,negatif
tingkat alam kuliah tahan,positif
media ajar media interaktif representasi materi ajar ppt ganti media video,positif
metode ajar senang bosan sampai mudah paham materi cepat kata yg asing umpama yg mudah paham,negatif
kuliah kali terjun lapang langsung dunia kerja efektif tingkat alam,negatif
materi teori praktikum beda terkadang kesalahpahaman mahasiswa tugas,negatif
alat - alat tambah ruang besar lantai 4,negatif
sistem kuliah mudah mahasiswa paham sarana prasarana tingkat dukung giat kuliah,positif
manfaat teknologi canggih tingkat ajar fasilitas akses materi ajar,positif
kurang beri tugas mahasiswa,positif
tingkat alam kuliah kuliah intens materi tugas langsung inti materi matkul,positif
1 tingkat sarana prasarana alat bersih  wifi nyaman mahasiswa,positif
alat praktikum kurang alat,negatif
perinci jelas nya yg awam materi dishare kuliah,negatif
materi yg ajar kelas,negatif
saran ajar kelas he he he,positif
saran depan mata kuliah taruh siang pengaruh ajar metode ajar saya terimakasih,positif
pindah lab yg lantai 4 mending cari kelas kosong,positif
tingkat alam kuliah ganti asdos yg manajemen baik,negatif
tingkat relevansi dunia kerja-seperti-memberikan contoh relevansi materi guna hidup tingkat kualitas metode ajar,positif
kelas praktikum fasilitas lab ti komplit,negatif
saran lab pi dah layak trs ajar praktikum gabung teori kondusif,negatif
kuliah seru game ice breaking mahasiswa antuk kelas aktif,positif
tingkat alat lab lab g well,negatif
tempat meja kursi diefektikan jam praktikum tugas tumpuk salah ajar berangkat,negatif
kasih saran ganti asdos ganti lab asdosnya ganti enggak kasih nasihat konsisten,negatif
ganti asdos keren tanggung,negatif
sarpras ajar lengkap diupgrade depan sesuai kembang,negatif
jam praktikum konfirmasi tidqk dilaksanakn perkuliahab,negatif
praktikum tolong asisten dosen nya tanggung pegang kelas harap bertanggungjawab sulit giat ajar mahasiswa,negatif
lab pratikum ruang engap udara kamar mandi lantai 3,negatif
asdosnya tegur disiplin,negatif
saran karna tpi lrbih perhati praktikum,positif
jadwal praktikum scr sistematis klo emg halang hadir enggak kabarin minimal 5 jam sblm praktikum alat praktikum ruang yg hrs optimal,negatif
banyakin praktikum mudah paham kembang,positif
praktikum,positif
kembang segi sarana prasarana praktik teori dukung,positif
saumpama ubah jadwal konfirmasi dulu praktikum nya,negatif
tau ngasih rekomendasi apa cuman kek kalo masuk kuliah ganti asisten mohon pilih asisten tanggung,negatif
disiplin dosen mahasiswa,negatif
terus mengevalusai staff,positif
saran depan praktikum evaluasi terkadang asisten dosen hadir mahasiswa dalam kelas sarana prasarana tingkat alat praktikum,negatif
saran kuliah gambar praktik lapang mahasiswa sambut kuliah tau mata kuliah dunia kerja,positif
kelas batal mohon konfirmasi grup minumal 1 jam kelas,negatif
saran praktikum isi herry asisten bertanggungjawab lebih bagus,negatif
saran wifi lantai 4 koneksi jaring,negatif
saran sarana mahasiswa mahasiswa ikut,positif
ganti asisten dosen sendiri tau gimana karna pandang diri sepele,negatif
lab lantai 4 lab ti kayak gitu fasilitas praktikum,negatif
banyakin analogi biar nangkep paham,positif
sarana prasarana d siap sisi alat ajar,negatif
ada pas,positif
up gread sii nyepeleinn matakuliah,positif
rekomendasi tambah praktek siswa moga materi tingkat softskill mahasiswa ti,positif
rekomendasi kuliah referensi lanjut bahan ajar kelas,positif
saran saya parkir pikir banyak mahasiswa bawa motor pikir lift tiap fakultas,positif
saran kuliah atur dosen ijin info jam,negatif
metode ajar upaya mahasiswa bosan contoh main games sederhana mahasiswa semangat ikut kuliah,positif
butuh ajar dosen ajar santai bikin mahasiswa terkadang takut telat ngumpulin tugas nya bikin mahasiswa tekan kuliah ajar,positif
metode semester matkul  moga dosen masuk materi ghosting,positif
sering2 materi praktik materi tolong dianlogikan biar paham mahasiswa,positif
saran tingkat alam kuliah matkul mengkoding beda codenya,positif
alangkah mahasiswa paham kait materi yg,positif
rangin jam mata kuliah kosong,negatif
kuliah banyak praktikum,positif
metode bagus arah sampai materi mata kuliah dalam sulit tugas,negatif
saran tingkat alam kuliah banyak ajar materi serta praktek praktek mandiri,negatif
banyak praktikum,positif
moga sarana prasarana perhati  agara ajar nyaman kendali,negatif
saran kuliah santai tugas mahasiswa semangat tingkat kuliah,positif
sedia sampah kelas spidol remote ac,negatif
metode terap depan bagus orang ga dar teori suka praktik langsung paham matakuliah,positif
saran perhati akses wifi yg mhs ruang kelas bersih utk tingkat nyaman kuliah,positif
pribadi mata kuliah pilih rps inovatif ajar efisien paham mahasiswa sistem kelompok monoton,positif
lengkap kait sarana prasarana giat kuliah optimal,negatif
alam beda mahasiswa alam beda,positif
saran tuju tingkat kuliah referensi materi lengkap spesifik materi materi lengkap sampai materi,positif
saran moga kuliah depan praktikum juga teori saja matkulnya teori saja praktikum segi cukup depan mata kuliah praktikum mata kuliah,positif
saran dosen ajar mudah mahasiswa faham betul,positif
saran kuliah kerja kelompok mahasiswa mudah paham tugas susah,positif
tambah jam praktikum materi implementasi langsung pandu dosen ajar,positif
saran moga kuliah tugas,positif
saran rekomendasi kuliah bersih jaga mahasiswa,negatif
saran nya tingkat alam kuliah masa terap metode kuliah,positif
harap kode pemrograman presentasi mahasiswa dosen dosen jelas tambah kode pemrograman,negatif
saran project,positif
saran kait laksana proses mbkm depan transparan maksud hari kabar kait masuk tidak kuliah berita materi pdf kait materi kuliah itu,negatif
harap bagi materi mata kuliah jalan mahasiswa ajar lanjut,positif
beranda andai pinginnya sen materi ajar sesuai seng tugas,positif
mohon informasi dosen halang hadir dinas kota serta materi baca baca mahasiwa ganti kuliah online,negatif
mata kuliah praktikum jujur pribadi terkadang bingung contoh,positif
sisi dosen ajar teori jelas praktik banyak tugas praktik,negatif
kurang tugas tambah program mentoring,positif
sedia alat praktikum jamin praktikum 1mahasiswa milik alat praktikum,negatif
praktikum tingkat soft skill mahasiswa asah dunia kerja,positif
matkul sister praktek pindah lab,positif
jadwal mudah mahasiswa jam 4 sore mahasiswa udah capek ngantuk,negatif
saran staf kampus mahasiswa jaga rawat sarana prasarana kampus nyaman cipta,positif
ajar buka kampus seru sendiri,positif
kuliah tingkat sumber refrensi tutor yutube mudah paham,positif
kait jadwal atur lagi mana mata kuliah penuh jadwal sore imbang atur hari 2 3 mata kuliah,negatif
saran giat kuliah laksana sesuai cantum rps jadwal halang ganti via daring terimakasih,negatif
kuliah kalo maju jam nya sore pulang,negatif
kelas dosen hadir video ajar kait materi tugas kait jam buang sia,negatif
tambah dosen spesifik fokus mata kuliah,negatif
kuliah sesuai jadwal selesai kuliah mundur,negatif
saran libur nya kalo jam matkul nya majuin dikit,negatif
kuliah libur ganti tetep ada kuliah,negatif
aktif kelas partisipasi diskusi dosen milik tanya bantu paham materi bangun hubung dosen,negatif
parkir mohon benah pada,negatif
tingkat kurang sebut atas,positif
saran kuliah kembang sarana prasarana dukung kuliah,negatif
tingkat sarana prasana pada alam studi,negatif
perhati fasilitas ruang kuliah kamar mandi urgent pelakasanaan ajar dosen kompeten mohon ganti,negatif
saran rekomendasi tingkat alam kuliah baik pikir saran rekomendasi apa,positif
saran  kuliah depan fasilitas alat alat sedia prodi hehe,negatif
materi sesuai butuh mahasiswa guna dunia kerja bekal hidup,positif
ajar ajak musyawarah,positif
depan mata kuliah dasar pemrograman tambah sksnya tambah materi mahasiswa erti paham mata kuliah,positif
usul pasang lift gedung singkat kelas,positif
depan,positif
tambah sks praktek dosen alam,positif
awam kuliah rekomendasi saran,positif
sarana prasarana alat lengkap,positif
kosong tetep materi tugas masuk buang sia sia,positif
rekomendasi nya jam kuliah sore mahasiswa fokus,positif
saran depan nya maksimal praktik nya paham materi,positif
depan bentuk kelompok mudah paham matkul,positif
tingkat prosedur jadwal mata kuliah sore,positif
saran ajar online ofline,positif
ajar sesuai krs beri harap jadwal ajar,positif
detail materi,positif
tingkat sarana prasarana tunjang kuliah efektif praktikum,positif
mnurut kuliah efektif materi iring praktik langsung mnurut efektif,positif
sarana prasarana tingkat minat prodi ti tingkat,positif
case tantang,positif
sarana bsa,positif
ajar kaut sampai materi pelan,positif
sarana prasarana lengkap wifi,positif
coba ajar dosen keliling belakang dosen depan jarang feedback,positif
manfaat terap hari manfaat teknologi kini,positif
baik sarana prasarana tekan kait ajar langsung,positif
depan nya dosen mata kuliah contoh tugas projek,positif
ajar,positif
detail depan,positif
saran tingkat alam kuliah ajar sekolah kampus,positif
saran maningkatkan kuliah tugas print,positif
kembang program chat lanjut tugas selesai dosen tampil milik dosen,positif
saran ubah jadwal pagi mahasiswa semangat2 nya habis mandi,positif
tolong prodi ti konsentrasi hardware sk perhati lagi kurang minim fasilitas,positif
tingkat fasilitas kampus,positif
wifi tambah kelas sistem komputer ajar jalan baik lift rooftop main main,positif
kuat praktek syukur syukur praktikum kampus metode ajar monoton,positif
ruang kelas bagus meja kursi kasih sarana alat barang praktik,positif
mahasiswa praktek nya jam kuliah sela waktu kosong asah ketrampilan mata kuliah,positif
saran tingkat ajar asyik biar ajar biar ajar santai tegang,positif
bimbing fasilitas praktikum cek,positif
ada latih praktik kait materi kuliah kait dunia kerja,positif
tingkat kualitas jaga kualitas segi sarana maupum prasarana kait kuliah,positif
saran kuliah banyak event event mahasiswa minat,positif
moga kuliah jalan lancar depan fasilitas dukung,positif
kuliah tugas kuliah baik dosen  paham mahasiswa nya paham materi yg dosen matkulnya,positif
